suite,case_id,variant,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
classification,IL-02,flattened,6,1.0,6,0,1770,10357,0.00104785
classification,IL-04,flattened,2,1.0,2,0,1972,4152,0.0004413
classification,IL-08,flattened,2,1.0,2,0,1661,3411,0.00039703
classification,IL-10,motion-facsimile,2,1.0,2,0,1556,8753,0.00036316
classification,MA-01,flattened,6,1.0,6,0,1844,9766,0.00105618
classification,MA-05,flattened,2,1.0,2,0,1775,3360,0.00030783
classification,MA-06,flattened,4,1.0,4,0,4053,7086,0.00078447
classification,VT-01,flattened,6,0.883333,5,0,3062,15404,0.00119273
classification,VT-03,flattened,4,0.8,3,0,2834,12057,0.00087696
classification,VT-06,flattened,2,0.5,1,0,2109,7036,0.00033667
