suite,case_id,variant,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
classification,IL-02,flattened,6,0.883333,5,0,3563,8603,0.0012785
classification,IL-04,flattened,2,1.0,2,0,3387,3388,0.00073685
classification,IL-08,flattened,2,1.0,2,0,2720,2913,0.00051815
classification,IL-10,motion-facsimile,2,1.0,2,0,1820,3504,0.0005073
classification,MA-01,flattened,6,1.0,6,0,2045,8937,0.00124348
classification,MA-05,flattened,2,1.0,2,0,1738,2789,0.0004341
classification,MA-06,flattened,4,1.0,4,0,1799,5909,0.00098165
classification,VT-01,flattened,6,1.0,6,0,1866,8732,0.0013931
classification,VT-03,flattened,4,1.0,4,0,1600,5800,0.00093835
classification,VT-06,flattened,2,1.0,2,0,2308,2756,0.00046655
