suite,variant,input_mode,prompt_version,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
production-context,flattened,markitdown,v1-production,6,0.557829,4,0,3620,5102,0.00930285
production-context,flattened,markitdown,v2-evidence-bound,6,0.842713,6,0,1754,5169,0.0091538
production-context,flattened,markitdown+fields,v1-production,6,0.557829,4,0,2605,4977,0.008201
production-context,flattened,markitdown+fields,v2-evidence-bound,6,0.849334,6,0,1980,5341,0.00886195
production-context,flattened,vision+markitdown+fields,v1-production,6,0.740357,5,0,2546,37537,0.0167579
production-context,flattened,vision+markitdown+fields,v2-evidence-bound,6,0.925813,6,0,3240,38144,0.0164006
production-context,interactive,markitdown,v1-production,6,0.17707,0,0,2779,4124,0.0068511
production-context,interactive,markitdown,v2-evidence-bound,6,0.36884,0,0,1789,4491,0.00742145
production-context,interactive,markitdown+fields,v1-production,6,0.439854,3,0,2913,9659,0.01318115
production-context,interactive,markitdown+fields,v2-evidence-bound,6,0.925813,6,0,2186,9562,0.01318565
production-context,interactive,vision+markitdown+fields,v1-production,6,0.740357,5,0,2938,41737,0.0201626
production-context,interactive,vision+markitdown+fields,v2-evidence-bound,6,0.925813,6,0,3050,42609,0.0215649
production-context,scanned,markitdown,v1-production,6,0.0,0,0,2292,3034,0.0045663
production-context,scanned,markitdown,v2-evidence-bound,6,0.0,0,0,1765,3157,0.0051998
production-context,scanned,markitdown+fields,v1-production,6,0.0,0,0,1522,2400,0.0043966
production-context,scanned,markitdown+fields,v2-evidence-bound,6,0.0,0,0,1463,3527,0.00412135
production-context,scanned,vision+markitdown+fields,v1-production,6,0.693293,5,0,2467,35807,0.0134098
production-context,scanned,vision+markitdown+fields,v2-evidence-bound,6,0.878189,6,0,2685,36586,0.0158327
