suite,case_id,variant,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
modality-text,MA-01,flattened,12,0.69159,10,0,3085,10628,0.0208376
modality-text,MA-01,scanned,12,0.0,0,0,1389,6119,0.00886125
modality-vision,MA-01,flattened,12,0.796666,10,0,2623,72297,0.0316655
modality-vision,MA-01,scanned,12,0.783945,11,0,3878,72420,0.03016615
phi-vision-exploratory,MA-01,flattened,14,0.779143,12,0,4238,79955,0.0296787
phi-vision-exploratory,MA-01,scanned,14,0.743208,12,1,3044,76101,0.0301242
sentinel-text,IL-04,flattened,12,0.833456,12,0,3384,10178,0.0124666
sentinel-text,IL-08,flattened,12,0.610687,11,0,3300,11503,0.014353
sentinel-text,IL-10,motion-facsimile,12,0.442055,0,0,3059,11321,0.01495415
sentinel-text,MA-01,flattened,12,0.925543,12,0,2536,10128,0.01358995
sentinel-text,MA-01,interactive,12,0.334728,0,0,4253,8136,0.0083053
sentinel-text,MA-01,scanned,12,0.03914,0,0,3613,5675,0.00495845
sentinel-text,VT-06,flattened,12,0.697557,10,0,3254,8821,0.01084465
