suite,variant,input_mode,prompt_version,runs,mean_score,passes,errors,mean_latency_ms,total_tokens,total_cost
modality-text,flattened,text,v1-production,6,0.511613,4,0,3763,5211,0.00956755
modality-text,flattened,text,v2-evidence-bound,6,0.871567,6,0,2407,5417,0.01127005
modality-text,scanned,text,v1-production,6,0.0,0,0,1628,2991,0.00454075
modality-text,scanned,text,v2-evidence-bound,6,0.0,0,0,1149,3128,0.0043205
modality-vision,flattened,vision,v1-production,6,0.713431,4,0,2476,35651,0.0147358
modality-vision,flattened,vision,v2-evidence-bound,6,0.879901,6,0,2771,36646,0.0169297
modality-vision,scanned,vision,v1-production,6,0.735054,5,0,2419,35720,0.0133577
modality-vision,scanned,vision,v2-evidence-bound,6,0.832837,6,0,5337,36700,0.01680845
phi-vision-exploratory,flattened,vision,v1-production,7,0.764283,6,0,3974,39575,0.0146933
phi-vision-exploratory,flattened,vision,v2-evidence-bound,7,0.794003,6,0,4502,40380,0.0149854
phi-vision-exploratory,scanned,vision,v1-production,7,0.596849,5,1,2348,35784,0.01482075
phi-vision-exploratory,scanned,vision,v2-evidence-bound,7,0.889567,7,0,3740,40317,0.01530345
sentinel-text,flattened,,v1-production,24,0.727001,21,0,3253,17083,0.02492255
sentinel-text,flattened,,v2-evidence-bound,24,0.806621,24,0,2985,23547,0.02633165
sentinel-text,interactive,,v1-production,6,0.316318,0,0,3876,3465,0.0038126
sentinel-text,interactive,,v2-evidence-bound,6,0.353137,0,0,4630,4671,0.0044927
sentinel-text,motion-facsimile,,v1-production,6,0.402396,0,0,3732,4524,0.0077315
sentinel-text,motion-facsimile,,v2-evidence-bound,6,0.481715,0,0,2387,6797,0.00722265
sentinel-text,scanned,,v1-production,6,0.052186,0,0,1484,2299,0.0014123
sentinel-text,scanned,,v2-evidence-bound,6,0.026093,0,0,5741,3376,0.00354615
